index,molecule,actual,average_prediction,standard_deviation
142,CrN,2.31,2.311385685830362,0.006900594827269378
143,CrN,2.31,2.31389647902348,0.007458572715642428
144,CrO,3.88,3.872126254070383,0.00831914837623599
145,CrO,3.88,3.880493200895356,0.0075524271965977715
146,CrSr,1.48,1.4800953765757383,0.0013107630331935384
147,CrSr,1.48,1.48037357543098,0.0011888908848526067
148,CrYb,1.19,1.1897158030503534,0.0016733364673075064
149,CrYb,1.19,1.1890612948733934,0.001856935051359693
150,CS,1.9585,1.9587322065502923,0.0011026622210641662
151,CS,1.9585,1.9587322065502923,0.0011026622210641662
152,CsBa,2.19,2.1861808314088287,0.005906716118314826
153,CsBa,2.19,2.1881841533772053,0.005642184745305805
154,CsBe,1.72,1.718835326740789,0.002367781150607256
155,CsBe,1.72,1.7196620872110921,0.0020996535894172424
156,CsBr,10.82,10.812105869244977,0.011203635810798248
157,CsBr,10.82,10.830326911512826,0.01129829762695503
158,CsCa,2.18,2.1789504859261224,0.0017474199116890487
159,CsCa,2.18,2.17927980518374,0.001718255459394475
160,CsCl,10.387,10.38355047671595,0.020374098089889645
161,CsCl,10.387,10.391822548056663,0.02228252819751604
162,CSe,1.99,1.9898675602537568,0.0011106418883606297
163,CSe,1.99,1.9898675602537568,0.0011106418883606297
164,CsF,7.8839,7.901663638623786,0.01865645007710014
165,CsF,7.8839,7.914190406611644,0.02105652493151081
166,CsFr,0.88,0.8772817190488635,0.003710119040369826
167,CsFr,0.88,0.8771291286774411,0.004324537446828495
168,CsI,11.69,11.693355429706745,0.005917806638513495
169,CsI,11.69,11.682854703647152,0.006521520148663862
170,CsMg,0.88,0.8805487630398352,0.0018938975880671961
171,CsMg,0.88,0.8796465543506786,0.0016576437872230687
172,CsRa,0.87,0.875066741254767,0.0028952474091272296
173,CsRa,0.87,0.8735018526448316,0.002710495611274256
174,CsSr,1.79,1.7878145778189851,0.001970291198428247
175,CsSr,1.79,1.7887820040220959,0.0020965951986363558
176,CuBa,4.01,4.01220782581745,0.0027243888752567125
177,CuBa,4.01,4.0101636266780645,0.002225174493823399
178,CuBe,0.81,0.8099190423091269,0.0018627120789642137
179,CuBe,0.81,0.8098014264867823,0.0019008462516002691
180,CuCa,2.32,2.3188514305880252,0.003286144278109942
181,CuCa,2.32,2.3217182691466256,0.0032096002255563166
182,CuCs,9.29,9.289813893552765,0.002869670126150713
183,CuCs,9.29,9.290242680884447,0.0029765645002912825
184,CuF,5.26,5.271479119675093,0.015973509733326157
185,CuF,5.26,5.2736908456129425,0.017095528929763987
186,CuFr,8.8,8.80155355135179,0.0034999570096805044
187,CuFr,8.8,8.799787298934243,0.003483990526321332
188,CuK,8.24,8.240986360977546,0.0054521548461858044
189,CuK,8.24,8.239981287815665,0.005404815926011043
190,CuLi,5.05,5.05090834815972,0.0020752352003121344
191,CuLi,5.05,5.049351974706583,0.0020025161954663547
192,CuMg,0.94,0.9417638863385355,0.0022873130099197807
193,CuMg,0.94,0.9410437272921267,0.0023055416619387273
194,CuNa,5.78,5.778810216000374,0.0024817259781390617
195,CuNa,5.78,5.780553544364895,0.0024888243996130945
196,CuO,4.57,4.571118876795033,0.005826031730213643
